,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
n_crash_reports,31064.0,1.4009142415657996,1.4865395694999621,1.0,1.0,1.0,1.0,66.0,12.493664068488044,298.4023056473311
severity_score,31064.0,1.6597991243883594,1.2115875568966488,1.0,1.0,1.0,2.0,10.0,2.320340148979694,5.956764349345714
latitude,31064.0,-1.2724805498404832,0.11896105125692259,-3.10000000200807,-1.31614230563724,-1.2810325595348049,-1.24478301,-0.565402313796744,-2.541223945929815,38.787395926069436
longitude,31064.0,36.85249851651386,0.1136501495326256,36.2839500025994,36.798093431236424,36.8402808033842,36.891426902782,37.8794900005407,2.216430742706611,12.512253992941147
hour_of_accident,31064.0,12.935745557558588,5.525064847420025,0.0,8.0,13.0,18.0,23.0,-0.0507075106933005,-1.1186753173766348
